episode,timestep,reward,steps
565,14478,-0.5,50
566,14524,-1.45,46
567,14564,0.61,40
568,14614,-0.5,50
569,14664,-0.5,50
570,14708,0.57,44
571,14748,0.61,40
572,14798,-0.5,50
573,14848,-0.5,50
574,14898,-0.5,50
575,14948,-0.5,50
576,14998,-0.5,50
577,15012,0.87,14
578,15062,-0.5,50
579,15112,-0.5,50
580,15150,-1.37,38
581,15189,0.62,39
582,15239,-0.5,50
583,15266,0.74,27
584,15302,0.65,36
585,15352,-0.5,50
586,15358,-1.05,6
587,15408,-0.5,50
588,15458,-0.5,50
589,15464,-1.05,6
590,15487,0.78,23
591,15495,0.93,8
592,15545,-0.5,50
593,15595,-0.5,50
594,15627,0.69,32
595,15641,-1.13,14
596,15691,-0.5,50
597,15714,0.78,23
598,15764,-0.5,50
599,15814,-0.5,50
600,15841,0.74,27
601,15891,-0.5,50
602,15925,0.67,34
603,15975,-0.5,50
604,16025,-0.5,50
605,16075,-0.5,50
606,16096,0.8,21
607,16142,0.55,46
608,16154,0.89,12
609,16204,-0.5,50
610,16225,0.8,21
611,16264,0.62,39
612,16288,0.77,24
613,16298,0.91,10
614,16306,0.93,8
615,16314,0.93,8
616,16335,0.8,21
617,16385,-0.5,50
618,16419,0.67,34
619,16428,0.92,9
620,16436,0.93,8
621,16446,0.91,10
622,16454,0.93,8
623,16462,0.93,8
624,16470,0.93,8
625,16478,0.93,8
626,16528,-0.5,50
627,16549,0.8,21
628,16557,0.93,8
629,16567,0.91,10
630,16575,0.93,8
631,16595,0.81,20
632,16603,0.93,8
633,16653,-0.5,50
634,16703,0.51,50
635,16713,0.91,10
636,16721,0.93,8
637,16729,0.93,8
638,16746,0.84,17
639,16786,0.61,40
640,16810,0.77,24
641,16824,0.87,14
642,16874,-0.5,50
643,16882,0.93,8
644,16891,0.92,9
645,16899,0.93,8
646,16907,0.93,8
647,16921,0.87,14
648,16931,0.91,10
649,16961,0.71,30
650,16969,0.93,8
651,16974,-1.04,5
652,16982,0.93,8
653,16990,0.93,8
654,17005,0.86,15
655,17014,-1.08,9
656,17050,0.65,36
657,17092,-1.41,42
658,17126,0.67,34
659,17176,-0.5,50
660,17205,0.72,29
661,17250,0.56,45
662,17261,0.9,11
663,17288,0.74,27
664,17297,0.92,9
665,17305,0.93,8
666,17321,0.85,16
667,17329,0.93,8
668,17355,-1.25,26
669,17366,0.9,11
670,17376,0.91,10
671,17387,0.9,11
672,17395,0.93,8
673,17403,0.93,8
674,17406,-1.02,3
675,17414,0.93,8
676,17423,0.92,9
677,17431,0.93,8
678,17470,0.62,39
679,17480,0.91,10
680,17488,0.93,8
681,17497,0.92,9
682,17505,0.93,8
683,17513,0.93,8
684,17523,0.91,10
685,17533,0.91,10
686,17543,0.91,10
687,17551,0.93,8
688,17557,-1.05,6
689,17568,0.9,11
690,17582,-1.13,14
691,17618,0.65,36
692,17626,0.93,8
693,17636,0.91,10
694,17645,0.92,9
695,17653,0.93,8
696,17661,0.93,8
697,17669,0.93,8
698,17676,-1.06,7
699,17703,0.74,27
700,17726,0.78,23
701,17734,0.93,8
702,17742,0.93,8
703,17750,0.93,8
704,17753,-1.02,3
705,17761,0.93,8
706,17774,0.88,13
707,17782,0.93,8
708,17790,0.93,8
709,17798,0.93,8
710,17806,0.93,8
711,17819,0.88,13
712,17827,0.93,8
713,17835,0.93,8
714,17843,0.93,8
715,17851,0.93,8
716,17861,0.91,10
717,17893,0.69,32
718,17926,0.68,33
719,17950,0.77,24
720,18000,-0.5,50
721,18008,0.93,8
722,18016,0.93,8
723,18024,0.93,8
724,18074,-0.5,50
725,18093,0.82,19
726,18101,0.93,8
727,18109,0.93,8
728,18137,-1.27,28
729,18145,0.93,8
730,18155,0.91,10
731,18178,0.78,23
732,18188,0.91,10
733,18198,0.91,10
734,18223,0.76,25
735,18239,0.85,16
736,18247,0.93,8
737,18255,0.93,8
738,18263,0.93,8
739,18274,0.9,11
740,18286,0.89,12
741,18318,0.69,32
742,18326,0.93,8
743,18334,0.93,8
744,18342,0.93,8
745,18350,0.93,8
746,18358,0.93,8
747,18368,0.91,10
748,18378,0.91,10
749,18388,0.91,10
750,18396,0.93,8
751,18404,0.93,8
752,18412,0.93,8
753,18420,0.93,8
754,18428,0.93,8
755,18438,0.91,10
756,18448,0.91,10
757,18456,0.93,8
758,18464,0.93,8
759,18472,0.93,8
760,18488,0.85,16
761,18496,0.93,8
762,18504,0.93,8
763,18512,0.93,8
764,18520,0.93,8
765,18528,0.93,8
766,18536,0.93,8
767,18555,0.82,19
768,18564,0.92,9
769,18572,0.93,8
770,18580,0.93,8
771,18588,0.93,8
772,18596,0.93,8
773,18604,0.93,8
774,18613,0.92,9
775,18621,0.93,8
776,18631,0.91,10
777,18639,0.93,8
778,18647,0.93,8
779,18655,0.93,8
780,18663,0.93,8
781,18671,0.93,8
782,18679,0.93,8
783,18687,0.93,8
784,18695,0.93,8
785,18710,0.86,15
786,18720,0.91,10
787,18728,0.93,8
788,18736,0.93,8
789,18746,0.91,10
790,18758,0.89,12
791,18766,0.93,8
792,18774,0.93,8
793,18782,0.93,8
794,18803,0.8,21
795,18811,0.93,8
796,18835,0.77,24
797,18847,0.89,12
798,18875,0.73,28
799,18883,0.93,8
800,18897,0.87,14
801,18905,0.93,8
802,18913,0.93,8
803,18921,0.93,8
804,18939,0.83,18
805,18949,0.91,10
806,18957,0.93,8
807,18965,0.93,8
808,18983,0.83,18
809,18991,0.93,8
810,18999,0.93,8
811,19014,-1.14,15
812,19022,0.93,8
813,19030,0.93,8
814,19038,0.93,8
815,19048,0.91,10
816,19058,0.91,10
817,19066,0.93,8
818,19074,0.93,8
819,19097,0.78,23
820,19105,0.93,8
821,19113,0.93,8
822,19121,0.93,8
823,19129,0.93,8
824,19139,0.91,10
825,19148,0.92,9
826,19156,0.93,8
827,19166,0.91,10
828,19175,0.92,9
829,19181,-1.05,6
830,19189,0.93,8
831,19216,0.74,27
832,19224,0.93,8
833,19232,0.93,8
834,19242,0.91,10
835,19250,0.93,8
836,19258,0.93,8
837,19288,0.71,30
838,19296,0.93,8
839,19305,0.92,9
840,19328,0.78,23
841,19338,0.91,10
842,19348,0.91,10
843,19356,0.93,8
844,19364,0.93,8
845,19372,0.93,8
846,19380,0.93,8
847,19412,0.69,32
848,19420,0.93,8
849,19428,0.93,8
850,19436,0.93,8
851,19444,0.93,8
852,19452,0.93,8
853,19460,0.93,8
854,19468,0.93,8
855,19476,0.93,8
856,19484,0.93,8
857,19492,0.93,8
858,19500,0.93,8
859,19508,0.93,8
860,19516,0.93,8
861,19524,0.93,8
862,19532,0.93,8
863,19541,0.92,9
864,19551,0.91,10
865,19565,0.87,14
866,19576,0.9,11
867,19584,0.93,8
868,19603,0.82,19
869,19611,0.93,8
870,19619,0.93,8
871,19627,0.93,8
872,19635,0.93,8
873,19643,0.93,8
874,19651,0.93,8
875,19679,0.73,28
876,19687,0.93,8
877,19695,0.93,8
878,19703,0.93,8
879,19711,0.93,8
880,19721,0.91,10
881,19729,0.93,8
882,19737,0.93,8
883,19745,0.93,8
884,19754,0.92,9
885,19762,0.93,8
886,19770,0.93,8
887,19779,0.92,9
888,19787,0.93,8
889,19795,0.93,8
890,19803,0.93,8
891,19811,0.93,8
892,19832,0.8,21
893,19848,0.85,16
894,19856,0.93,8
895,19864,0.93,8
896,19872,0.93,8
897,19876,-1.03,4
898,19886,0.91,10
899,19894,0.93,8
900,19906,0.89,12
901,19915,0.92,9
902,19925,0.91,10
903,19933,0.93,8
904,19941,0.93,8
905,19952,0.9,11
906,19960,0.93,8
907,19968,0.93,8
908,19976,0.93,8
909,19984,0.93,8
910,19992,0.93,8
911,20010,-1.17,18
912,20018,0.93,8
913,20026,0.93,8
914,20048,0.79,22
915,20068,0.81,20
916,20084,0.85,16
917,20092,0.93,8
918,20102,0.91,10
919,20110,0.93,8
920,20118,0.93,8
921,20126,0.93,8
922,20134,0.93,8
923,20146,0.89,12
